185,Baker Hughes,21156,-601
186,United States Steel,21065,2524
187,NextEra Energy,20956,4147
188,Targa Resources,20930,1196
189,Lear,20892,328
190,Jones Lang LaSalle,20862,655
191,Goodyear Tire & Rubber,20805,202
192,Marriott International,20773,2358
193,Marsh & McLennan,20720,3050
194,Altria Group,20688,5764
195,Coupang,20583,-92
196,Carrier Global,20421,3534
197,Halliburton,20297,1572
198,Delek US Holdings,20246,257
199,Kimberly-Clark,20175,1934
200,Texas Instruments,20028,8749
201,Bank of New York Mellon,19991,2573
202,ManpowerGroup,19828,374
203,Whirlpool,19724,-1519
204,Waste Management,19698,2238
205,American Electric Power,19640,2307
206,Emerson Electric,19629,3231
207,Aflac,19502,4201
208,Cognizant Technology Solutions,19428,2290
209,Becton Dickinson,19408,1779
210,BJ's Wholesale Club,19315,513
211,Moderna,19263,8362
212,DTE Energy,19228,1083
213,Land O'Lakes,19226,241
214,Kinder Morgan,19200,2548
215,Tenet Healthcare,19174,411
216,Devon Energy,19169,6015
217,Mosaic,19125,3583
218,Exelon,19078,2170
219,General Mills,18993,2707
220,Global Partners,18878,362
221,Western Digital,18793,1500
222,Lincoln National,18766,-2241
223,Ross Stores,18696,1512
224,Stryker,18449,2358
225,Kyndryl Holdings,18317,-2054
226,Kohl's,18098,-19
227,Stanley Black & Decker,18004,1063
228,Colgate-Palmolive,17967,1785
229,BlackRock,17873,5178
230,Estee Lauder,17737,2390
230,Fiserv,17737,2530
232,PPG Industries,17652,1026
233,Adobe,17606,4756
234,Block,17532,-541
235,Synchrony Financial,17526,3016
236,Principal Financial,17492,4812
237,Lumen Technologies,17478,-1548
238,Corteva,17455,1147
239,Andersons,17351,131
240,Lam Research,17227,4605
241,Edison International,17220,612
242,Dominion Energy,17174,994
243,Booking Holdings,17090,3058
244,Quanta Services,17074,491
245,Expeditors Intl. of Washington,17071,1357
246,L3Harris Technologies,17062,1062
247,Reliance Steel & Aluminum,17025,1840
248,Live Nation Entertainment,16681,296
249,DISH Network,16679,2303
250,DuPont,16549,5868
251,Automatic Data Processing,16498,2949
252,Group 1 Automotive,16412,752
253,Aramark,16327,195
254,Thor Industries,16313,1138
255,DXC Technology,16265,718
256,Viatris,16263,2079
257,Reinsurance Group of America,16258,623
258,AutoZone,16252,2430
259,PulteGroup,16229,2617
260,Illinois Tool Works,15932,3034
261,Parker-Hannifin,15862,1316
262,BorgWarner,15801,944
263,Westlake,15794,2247
264,Consolidated Edison,15670,1660
265,Gap,15616,-202
266,Opendoor Technologies,15567,-1353
267,Nordstrom,15530,245
268,Asbury Automotive Group,15434,997
269,Ball,15349,719
270,Kellogg,15315,960
271,Xcel Energy,15310,1736
272,W.W. Grainger,15228,1547
273,Discover Financial Services,15202,4392
274,Baxter International,15113,-2433
275,Southwestern Energy,15002,1849
276,DCP Midstream,14993,1052
277,Jacobs Solutions,14923,644
278,Laboratory Corp. of America,14877,1279
279,CSX,14853,4166
280,J.B. Hunt Transport Services,14814,969
281,Guardian Life Ins. Co. of America,14653,71
282,Jackson Financial,14551,5697
283,Fidelity National Information Services,14528,-16720
284,Berry Global Group,14495,766
285,Sempra,14439,2138
286,IQVIA Holdings,14410,1091
287,O'Reilly Automotive,14410,2173
288,Leidos Holdings,14396,685
289,Ameriprise Financial,14347,2559
290,Omnicom Group,14289,1317
291,Tractor Supply,14205,1089
292,Corning,14189,1316
293,Ecolab,14188,1092
294,Icahn Enterprises,14101,-183
295,Farmers Insurance Exchange,14092,-314
296,Keurig Dr Pepper,14057,1436
297,Loews,14044,1012
298,Equitable Holdings,14017,1785
299,Sonic Automotive,14001,89
300,Fox,13974,1205
301,American Family Insurance Group,13814,-1904
302,Entergy,13764,1103
303,Fluor,13744,145
304,Vistra,13728,-1227
305,State Street,13692,2774
306,Otis Worldwide,13685,1253
307,Peter Kiewit Sons',13663,710
308,Carvana,13604,-1587
309,Republic Services,13511,1488
310,AECOM,13496,311
311,Universal Health Services,13399,676
312,Pacific Life,13360,763
313,VMware,13350,1314
314,Western & Southern Financial Group,13156,309
315,MGM Resorts International,13128,1473
316,Casey's General Stores,12953,340
317,Crown Holdings,12943,727
318,Textron,12869,861
319,LKQ,12794,1149
320,Norfolk Southern,12745,3270
321,Intuit,12726,2066
322,Air Products & Chemicals,12699,2256
323,Boston Scientific,12682,698
324,AGCO,12651,890
325,Henry Schein,12647,538
326,Amphenol,12623,1902
327,AES,12617,-546
328,Mutual of Omaha,12531,-177
329,Ovintiv,12464,3637
330,Hormel Foods,12459,1000
331,Alcoa,12451,-123
332,International Flavors & Fragrances,12440,-1871
333,Jones Financial (Edward Jones),12411,1404
334,Dick's Sporting Goods,12368,1043
335,Eversource Energy,12289,1405
336,Wayfair,12218,-1331
337,Community Health Systems,12211,46
338,Ally Financial,12199,1714
339,Regeneron Pharmaceuticals,12173,4338
340,Liberty Media,12164,1815
341,APA,12132,3674
342,Qurate Retail,12106,-2594
343,FirstEnergy,12053,406
344,Analog Devices,12014,2749
345,Ryder System,12011,867
346,Avis Budget Group,11994,2764
347,Unum Group,11991,1314
348,Newmont,11915,-429
349,VF,11842,1387
350,Chesapeake Energy,11743,4936
351,Mohawk Industries,11737,25
352,Markel,11675,-214
353,Expedia Group,11667,352
354,Caesars Entertainment,11647,-899
355,United Rentals,11642,2105
356,Apollo Global Management,11627,-3213
357,DaVita,11610,560
358,Hess,11570,2096
359,Fidelity National Financial,11556,1136
360,Conagra Brands,11536,888
361,Univar Solutions,11475,545
362,Auto-Owners Insurance,11407,-55
363,Raymond James Financial,11308,1509
364,Seaboard,11243,580
365,CF Industries Holdings,11186,3346
366,S&P Global,11181,3248
367,W.R. Berkley,11167,1381
368,Advance Auto Parts,11155,502
369,EMCOR Group,11076,406
370,Williams,10965,2049
371,Interpublic Group,10928,938
372,TravelCenters of America,10845,164
373,American Tower,10711,1766
374,Molson Coors Beverage,10701,-175
375,Huntington Ingalls Industries,10676,579
376,NVR,10580,1726
377,Eastman Chemical,10580,793
378,Graybar Electric,10534,453
379,Insight Enterprises,10431,281
380,Hershey,10419,1645
381,News Corp.,10385,623
382,Toll Brothers,10276,1287
383,Ulta Beauty,10209,1242
384,Assurant,10193,277
385,Weyerhaeuser,10184,1880
386,Biogen,10173,3047
387,Dana,10156,-242
388,UGI,10106,1073
389,Chewy,10099,49
390,Owens & Minor,9956,22
391,Quest Diagnostics,9883,946
392,Public Service Enterprise Group,9800,1031
393,eBay,9795,-1269
394,MasTec,9778,33
395,Owens Corning,9761,1241
396,Celanese,9673,1894
397,Altice USA,9648,195
398,Alaska Air Group,9646,58
399,SpartanNash,9643,35
400,Diamondback Energy,9643,4386
401,Intercontinental Exchange,9636,1446
402,Darden Restaurants,9630,953
403,UFP Industries,9627,693
404,WEC Energy Group,9597,1408
405,Yum China Holdings,9569,442
406,EnLink Midstream,9542,361
407,Continental Resources,9474,4025
408,Newell Brands,9459,197
409,Graphic Packaging Holding,9440,522
410,Olin,9376,1327
411,Fifth Third Bancorp,9353,2446
412,Thrivent Financial for Lutherans,9347,1085
413,CenterPoint Energy,9321,1057
414,Erie Insurance Group,9296,-577
